temperature,vibration,humidity,pressure,energy_consumption,maintenance_required
75.0,63.7,44.29,1.75,3.23,0
83.59,44.74,69.68,2.93,1.69,0
60.42,76.7,42.46,2.39,2.43,0
72.43,27.11,47.32,3.18,1.03,0
86.43,56.89,33.64,2.11,0.81,0
71.94,57.95,30.15,3.01,2.35,0
76.35,64.18,33.55,1.22,4.04,0
66.48,61.41,65.75,2.75,1.36,0
91.81,30.93,51.48,4.0,3.38,1
77.73,41.96,37.47,2.23,3.57,0
90.72,69.24,57.2,4.07,4.99,1
64.54,41.86,72.5,4.98,4.29,0
58.71,26.75,68.59,3.97,1.14,0
77.92,56.12,56.22,4.99,0.6,0
72.88,81.17,43.36,1.75,0.89,1
69.18,19.79,37.3,2.07,3.9,0
83.55,73.36,30.53,3.28,2.32,0
60.32,87.5,50.53,2.84,2.5,1
67.31,55.73,57.39,3.98,4.83,0
78.73,25.79,56.72,1.42,3.84,0
86.4,22.66,63.05,4.12,4.47,0
69.12,79.77,79.61,2.64,2.16,1
70.0,69.24,34.56,4.4,3.76,0
73.91,26.97,45.22,1.36,1.24,0
78.01,66.1,48.96,3.59,1.72,0
75.45,56.03,41.26,2.1,3.66,0
64.85,39.41,46.8,4.76,3.67,0
66.37,41.96,69.89,4.11,3.08,0
79.61,75.88,69.63,2.49,0.58,0
69.66,42.0,64.92,2.6,0.98,0
72.76,36.2,56.21,1.98,2.43,0
79.1,28.51,45.03,2.2,3.01,0
55.53,48.0,59.48,3.91,2.95,0
63.19,66.5,75.72,4.69,2.84,0
67.2,56.39,77.4,1.2,0.9,0
74.33,56.99,76.99,1.5,3.77,0
61.21,48.8,74.48,1.4,4.1,0
71.08,23.86,63.91,3.62,1.11,0
67.01,59.9,54.86,1.73,1.11,0
77.64,68.66,34.28,2.81,1.7,0
84.2,49.71,34.89,4.43,2.01,0
66.2,73.59,48.11,3.7,1.96,1
59.87,50.65,76.68,1.3,4.35,0
72.0,41.14,78.86,2.36,1.8,0
79.6,61.83,48.41,3.13,0.9,0
66.77,52.65,55.23,2.72,1.39,0
69.47,34.69,55.96,1.87,0.63,0
85.59,36.06,49.27,2.61,3.62,0
80.2,51.97,35.62,2.88,3.12,0
49.07,67.39,53.55,2.56,3.89,0
84.93,21.23,64.71,3.58,1.6,0
67.72,45.73,44.06,2.45,0.51,1
65.34,36.96,36.45,4.79,4.0,0
84.83,62.95,78.07,2.06,0.98,0
105.91,23.75,68.11,2.18,4.7,1
68.3,40.99,34.83,3.15,1.49,1
76.11,57.74,50.93,1.95,1.42,0
62.47,49.12,33.23,2.46,2.16,0
75.32,55.6,54.53,2.88,1.74,0
98.4,33.8,78.23,2.48,4.23,1
84.08,66.35,71.37,3.96,2.53,0
89.16,48.76,71.98,1.21,3.11,0
72.8,48.06,79.76,1.32,3.87,0
73.85,76.4,64.3,3.54,4.69,0
99.34,53.86,57.9,1.17,3.77,1
99.8,57.12,54.79,3.65,0.74,1
78.69,84.25,35.41,1.62,1.43,1
82.24,66.99,62.22,4.48,1.99,0
54.26,48.87,37.17,4.69,4.47,0
65.27,36.02,52.79,1.07,0.8,0
72.34,66.37,67.54,3.48,1.56,0
76.95,56.41,74.02,1.66,1.65,0
61.39,50.68,79.94,3.68,3.21,0
95.83,61.4,74.56,3.97,1.99,1
69.01,43.18,59.32,1.53,4.79,1
78.94,53.43,36.82,2.04,4.53,0
57.96,66.54,60.53,2.57,3.09,0
69.11,68.53,66.59,2.64,1.58,0
72.52,60.56,73.12,3.15,4.21,0
75.63,47.16,33.21,3.69,0.51,0
65.94,62.2,46.49,1.22,2.96,0
67.24,43.84,37.45,3.56,2.44,1
80.8,69.22,67.07,1.32,4.99,1
71.12,22.01,34.52,2.67,1.31,0
75.32,85.81,51.95,4.99,3.17,1
77.49,56.37,60.38,2.97,1.93,0
66.29,60.45,65.49,4.05,2.78,0
80.18,36.6,59.09,2.44,1.17,0
69.17,59.46,36.43,1.28,1.65,0
56.06,47.62,58.49,1.37,4.22,0
82.12,59.86,45.29,1.09,3.91,0
78.83,55.18,44.36,2.72,2.06,1
58.08,77.01,49.36,2.84,4.79,1
84.56,29.94,33.35,3.55,4.91,0
75.23,60.71,35.47,4.29,4.79,1
80.18,33.58,36.89,1.16,3.13,0
78.34,50.69,46.51,4.93,4.73,0
61.62,52.78,43.03,1.93,0.69,0
74.55,55.81,39.91,4.26,0.87,0
84.69,35.85,50.68,3.17,1.44,0
51.54,52.37,33.87,3.13,2.99,0
74.32,60.95,43.96,2.6,4.42,0
69.48,49.76,37.67,4.55,4.98,0
78.64,26.3,40.37,4.52,2.96,0
82.12,61.61,54.0,1.95,2.06,0
72.88,64.97,79.18,2.88,0.89,0
72.69,52.44,76.26,4.59,0.53,0
63.46,58.93,32.44,2.7,1.66,0
67.94,55.23,76.44,1.47,3.75,1
65.67,41.55,64.75,4.97,2.65,0
80.31,53.33,35.48,2.05,0.78,0
81.98,57.73,54.87,4.44,2.12,0
70.89,43.99,40.43,2.29,1.44,0
76.3,34.18,74.1,1.01,1.6,0
64.98,44.02,49.68,4.61,4.18,1
67.04,48.95,55.28,3.44,4.41,0
68.35,43.95,79.94,1.98,1.17,0
70.31,14.02,71.57,2.43,0.69,0
92.78,52.22,48.38,4.26,2.11,1
77.99,50.38,50.47,1.46,4.32,0
60.33,36.63,34.54,4.27,0.56,0
72.8,57.13,35.01,4.77,4.56,0
82.63,49.92,74.26,2.41,0.72,0
77.48,46.03,45.95,3.17,1.15,0
69.32,31.85,61.32,1.81,0.62,0
78.07,53.18,42.14,3.44,2.62,0
64.48,51.8,76.76,4.23,4.69,0
70.41,38.43,46.86,3.15,0.87,1
65.6,46.14,36.65,3.56,3.67,0
73.2,50.91,53.62,1.06,2.99,0
61.8,35.48,70.57,1.36,2.11,0
74.23,35.3,66.77,1.57,4.61,0
95.44,46.85,73.54,1.95,3.95,1
80.42,67.08,67.87,2.35,4.55,0
73.83,27.56,32.7,1.18,2.85,0
81.18,47.17,43.71,3.67,2.51,0
87.69,38.0,66.38,3.86,2.75,0
78.34,48.33,35.64,4.87,2.94,1
68.49,59.76,35.35,3.53,3.78,1
58.45,46.08,65.34,1.48,3.45,1
71.28,33.36,63.53,2.29,1.79,0
64.45,62.32,46.18,2.7,3.24,0
68.83,41.95,53.33,2.16,4.98,0
69.54,40.96,72.62,3.85,3.29,0
74.71,37.17,57.35,4.7,1.29,0
74.51,66.0,41.04,1.34,3.94,0
65.73,52.39,32.49,4.75,3.79,0
66.11,71.78,54.63,3.29,0.99,0
62.76,43.8,78.27,2.8,4.62,0
73.99,55.6,59.61,1.71,3.15,1
77.58,49.06,49.83,3.95,2.45,1
70.44,49.65,63.81,2.12,0.71,0
81.26,33.99,30.09,2.14,4.3,0
73.88,49.22,62.49,1.97,0.78,0
74.87,27.5,65.48,3.62,2.96,0
76.67,53.51,32.55,2.9,3.55,1
74.03,46.9,31.64,4.87,4.19,0
76.77,51.57,31.06,2.54,4.09,0
77.58,24.63,44.24,2.39,0.57,0
69.62,24.2,55.51,3.16,4.11,0
70.71,50.08,36.13,1.17,2.01,0
86.38,57.59,30.99,3.74,4.47,0
82.79,43.14,78.59,3.84,2.47,0
66.15,45.57,71.07,2.99,2.94,0
75.88,66.04,44.75,3.52,1.74,0
65.24,49.3,52.21,3.01,4.72,0
59.1,54.93,49.31,4.3,4.11,0
76.93,51.16,59.61,1.87,3.5,1
62.99,29.31,40.94,4.27,3.49,0
76.88,48.76,36.46,4.5,1.91,0
78.3,27.97,53.21,2.72,1.51,0
63.25,39.58,45.89,1.68,4.31,0
64.13,83.28,76.3,1.89,3.41,1
75.11,53.56,66.82,4.04,2.03,0
84.02,46.98,41.06,1.66,4.24,0
94.7,51.36,45.6,3.37,2.46,1
64.54,39.44,64.46,4.04,1.01,0
76.66,40.03,76.1,4.34,2.22,1
82.32,64.23,51.5,4.39,2.9,0
66.57,46.27,69.99,3.06,0.59,0
75.24,63.07,70.14,2.27,2.05,0
68.81,53.61,42.25,4.51,4.85,0
82.2,55.09,48.04,4.92,2.75,0
61.06,35.92,68.07,3.32,4.54,0
78.62,35.26,36.94,2.6,4.06,0
75.27,38.18,72.98,1.06,1.94,0
93.04,48.64,51.74,5.0,4.77,1
64.41,40.04,76.87,3.65,2.18,0
82.65,48.11,55.91,4.95,3.6,0
75.41,30.87,78.33,1.27,2.13,0
85.56,59.18,64.19,1.84,1.45,0
64.83,62.48,73.41,1.59,1.01,0
58.89,65.5,64.92,1.4,3.88,0
52.11,31.55,43.6,4.93,3.88,0
77.35,40.88,78.71,4.13,0.87,0
75.42,49.94,47.98,4.28,0.83,0
74.92,55.52,37.3,1.3,2.38,0
89.79,69.46,43.49,3.08,0.92,1
78.37,48.19,30.3,3.37,0.75,0
71.93,80.02,53.87,2.87,0.54,1
68.84,61.93,68.1,4.45,2.53,1
88.69,51.78,52.59,1.48,1.42,0
88.02,55.04,79.82,3.12,4.83,0
64.85,54.4,76.54,4.69,2.05,0
97.62,73.91,62.39,3.73,4.55,1
79.43,52.85,61.88,2.17,1.0,0
67.45,50.21,66.15,2.04,3.82,0
62.86,46.38,58.48,3.23,4.74,0
87.68,36.59,38.36,2.41,0.51,0
80.35,52.49,47.74,1.03,4.13,0
62.47,62.0,68.31,4.55,1.68,1
68.62,52.17,60.83,4.24,1.16,0
67.57,33.13,45.11,3.38,2.01,0
51.66,63.51,73.41,2.24,4.42,0
77.6,53.14,55.83,4.69,1.22,0
85.44,41.85,51.78,1.69,4.88,0
65.04,37.23,56.8,3.2,4.92,0
98.62,77.49,46.91,2.87,4.49,1
85.5,36.82,30.69,2.7,3.63,0
62.58,62.0,51.41,2.63,2.31,0
75.39,26.27,79.16,2.06,1.23,1
78.7,45.56,53.93,2.69,4.03,0
73.2,26.75,54.71,2.15,2.63,1
74.47,53.01,60.92,4.52,4.6,0
69.89,42.29,32.17,4.06,3.11,0
84.64,50.0,37.62,2.17,4.58,0
57.88,63.23,66.6,1.28,3.01,0
65.44,45.54,79.12,1.84,3.68,0
84.86,38.24,46.23,3.69,3.75,0
73.51,39.59,53.48,3.71,4.95,0
94.14,70.18,36.14,4.25,0.91,1
71.96,58.07,36.69,2.6,4.4,0
64.55,62.15,73.02,4.91,4.97,0
65.97,46.5,66.04,4.05,2.09,0
68.99,34.27,34.48,1.25,4.46,0
90.44,54.9,40.46,2.54,3.04,1
68.15,53.12,78.61,1.19,4.92,1
94.32,33.42,69.56,3.03,2.91,1
79.14,33.57,30.51,2.17,4.17,1
73.0,47.59,78.76,3.5,2.26,0
76.5,73.73,54.89,3.3,3.05,0
73.14,61.59,56.85,2.82,3.21,0
88.67,51.41,58.67,1.45,2.33,0
81.9,55.16,69.36,2.35,2.97,1
70.53,31.89,67.85,3.04,2.62,1
93.73,73.65,67.71,2.0,4.38,1
66.44,47.05,54.12,3.39,4.44,0
52.98,63.29,43.76,4.19,2.71,1
74.64,23.55,36.37,3.27,2.51,0
67.28,55.91,68.89,1.88,1.18,0
72.58,47.12,73.12,2.32,0.69,0
83.79,59.43,51.88,4.46,3.7,0
67.75,36.22,33.21,3.66,1.12,0
95.75,72.4,67.6,2.92,3.16,1
73.21,6.31,32.25,3.55,1.36,0
60.58,52.45,63.79,2.97,2.33,0
71.74,50.49,51.76,3.81,2.21,0
72.21,49.46,69.81,3.31,2.23,0
74.44,25.53,62.41,1.71,4.9,0
71.5,51.39,45.52,2.6,2.44,0
81.07,73.66,56.23,2.43,2.19,0
74.69,54.08,47.85,2.26,3.78,0
83.71,65.95,60.76,3.98,3.68,0
67.63,67.59,67.31,4.95,4.4,0
62.79,46.85,68.21,3.03,2.31,0
67.86,56.03,63.78,3.08,2.33,0
61.08,42.13,30.93,2.98,1.88,0
65.61,57.83,33.34,4.87,1.46,0
75.34,48.55,30.07,2.51,3.77,0
87.32,39.12,75.66,3.58,1.27,0
57.43,47.29,72.32,5.0,1.39,0
93.87,45.23,70.33,1.25,2.66,1
93.93,38.63,53.45,1.06,4.04,1
92.38,34.87,77.88,1.24,4.89,1
76.95,60.41,42.3,2.09,2.18,0
76.35,31.56,54.61,3.98,3.66,1
81.63,31.37,46.49,2.19,3.89,0
61.12,59.74,52.04,3.27,3.29,0
69.96,49.15,41.88,3.35,2.59,1
79.71,75.07,77.24,1.9,1.11,0
71.26,72.98,79.84,1.63,1.3,0
93.22,43.4,51.69,3.28,3.28,1
68.44,63.25,62.86,3.14,0.58,0
73.04,44.07,38.84,2.48,2.36,0
75.7,66.96,73.9,4.61,2.45,0
81.62,33.9,59.38,4.24,3.25,0
79.93,44.0,49.67,3.39,4.12,0
76.91,49.97,46.28,3.24,2.54,0
70.25,54.52,63.24,3.88,3.42,0
81.29,50.23,74.88,4.69,3.49,0
83.0,56.77,54.3,1.73,4.16,0
68.99,45.66,56.25,3.94,3.44,0
63.17,24.15,42.09,1.99,1.03,0
82.34,55.55,53.84,3.99,4.37,0
72.63,36.84,36.45,1.71,1.74,0
75.59,63.74,48.13,1.69,1.87,0
72.38,81.7,61.37,1.68,2.83,1
76.98,55.3,53.3,2.45,4.14,0
64.43,61.28,39.26,2.22,2.3,0
60.3,43.45,34.82,3.27,3.11,0
69.33,43.39,38.79,3.76,2.52,0
68.51,18.6,70.77,1.45,3.74,0
70.32,46.97,45.83,1.53,1.61,0
80.51,68.29,39.74,2.07,4.77,1
84.33,29.52,39.41,3.39,2.66,0
71.88,57.7,76.99,1.02,1.47,0
67.41,64.48,55.26,4.02,2.08,0
70.8,52.33,77.39,4.06,4.19,0
65.51,59.35,34.8,1.69,3.22,0
77.7,40.66,72.75,1.96,4.26,1
78.34,59.15,53.08,4.49,2.65,0
63.92,55.61,72.34,4.99,1.33,1
90.88,71.26,52.25,2.71,1.44,1
74.64,68.4,71.37,3.54,3.13,0
59.47,43.82,65.12,1.17,3.95,1
68.76,65.31,32.35,3.58,1.63,0
84.54,49.62,31.36,3.14,1.98,0
69.36,47.98,69.62,2.39,4.91,0
81.12,65.24,79.65,3.37,4.37,0
76.83,60.03,50.06,2.44,4.58,0
75.5,60.24,68.78,4.1,1.12,0
73.3,42.14,51.74,3.75,1.13,0
90.29,61.9,51.54,4.78,4.15,1
75.85,41.58,42.86,1.07,1.12,0
74.96,54.07,76.33,2.38,2.88,0
63.26,47.24,42.43,4.88,2.19,0
82.77,45.3,77.79,1.31,1.42,0
79.42,25.92,54.65,2.62,3.41,1
83.19,49.09,71.82,2.13,4.79,0
74.62,30.48,56.85,1.95,0.97,0
74.46,48.58,39.58,2.74,1.13,0
80.07,43.78,34.08,2.77,1.08,0
59.12,31.47,32.24,2.96,2.34,0
74.01,53.58,40.46,4.38,0.59,0
78.32,36.68,47.19,4.19,1.95,0
89.4,36.75,79.13,1.49,3.04,0
76.78,59.48,73.74,1.35,4.78,1
79.49,50.93,42.87,2.98,3.82,1
65.16,31.98,47.65,2.44,3.06,0
80.74,45.27,59.53,2.05,1.11,0
73.16,52.65,52.38,4.99,3.86,0
70.53,34.9,54.72,4.79,1.59,1
77.63,24.95,79.46,3.28,0.86,0
71.36,66.23,59.89,1.6,4.14,0
80.63,41.69,71.42,2.25,0.66,0
72.16,33.81,45.95,4.1,1.62,0
85.39,77.82,46.82,3.5,2.57,0
64.59,41.74,45.94,3.75,2.77,0
79.94,68.39,40.74,4.21,3.85,1
81.77,50.6,32.55,4.52,0.78,0
72.82,50.18,38.02,2.84,3.93,0
66.03,29.15,79.18,4.39,2.23,0
76.47,73.48,44.66,1.4,4.54,0
70.24,53.5,75.21,1.41,4.24,0
76.1,42.66,51.15,1.54,2.76,0
82.38,53.88,45.78,3.65,2.08,0
70.44,57.58,66.58,4.56,1.78,0
68.23,86.35,39.59,4.34,4.32,1
75.8,57.53,36.64,2.24,3.31,0
81.96,32.84,79.89,2.91,4.37,0
94.8,31.14,77.49,3.55,2.26,1
77.28,50.57,37.7,4.74,0.92,0
76.21,51.15,44.65,3.74,3.0,0
75.38,63.93,49.76,4.33,1.61,1
67.82,68.2,53.15,3.61,4.09,1
68.1,69.22,74.61,1.49,2.66,0
75.05,55.84,75.99,3.74,3.14,1
75.54,57.86,33.72,2.66,4.2,0
63.05,38.9,68.53,3.23,2.52,0
69.23,35.43,38.55,3.37,2.26,1
89.11,37.16,45.56,2.2,4.68,0
56.59,62.26,64.95,1.91,4.39,0
83.31,46.5,78.91,2.6,1.83,0
87.23,48.33,53.12,2.45,3.54,0
80.9,72.03,79.22,4.5,3.56,0
79.65,83.65,64.58,1.8,4.56,1
73.05,25.7,51.35,3.28,2.41,0
72.45,63.09,60.92,4.7,1.45,0
75.22,37.28,31.07,3.56,0.56,0
89.62,56.06,72.59,1.27,2.02,0
82.34,30.52,79.41,2.04,4.87,0
53.49,40.87,39.27,1.74,4.83,0
96.86,57.29,46.79,2.01,1.56,1
66.29,52.78,76.27,1.45,0.66,0
84.98,60.82,46.32,1.09,0.98,0
80.88,70.91,55.12,2.56,2.72,0
77.31,71.92,74.8,2.0,2.74,0
84.45,5.1,36.1,1.47,1.57,0
97.38,51.22,62.75,4.4,1.18,1
68.06,48.28,73.52,4.11,1.12,0
60.65,36.52,50.12,3.37,0.92,0
81.03,48.92,34.68,2.03,4.76,0
83.64,55.07,58.03,1.25,3.79,0
86.66,50.84,77.58,4.91,4.42,0
73.06,23.29,38.74,1.23,1.67,0
61.69,53.0,60.3,3.17,4.89,0
81.48,54.24,73.93,3.67,4.09,0
82.52,39.36,34.63,4.27,0.75,0
70.01,68.82,74.67,4.46,2.74,0
61.58,51.54,47.14,1.9,3.11,0
92.17,61.97,78.48,2.26,3.41,1
79.41,52.1,74.06,4.21,1.12,0
62.07,39.59,60.46,2.88,1.17,0
63.95,76.82,45.66,1.81,1.12,0
62.65,36.3,56.51,4.61,1.52,0
64.82,67.92,41.02,2.39,0.65,1
67.11,61.23,49.66,4.67,4.76,0
91.82,53.97,67.63,4.74,2.0,1
92.04,41.59,60.66,3.97,0.77,1
53.14,70.84,36.0,2.06,2.57,0
93.43,55.35,46.91,4.41,4.49,1
71.53,42.67,61.22,2.66,2.68,0
74.83,39.56,73.43,1.71,2.09,0
83.94,53.82,34.46,1.1,1.92,0
63.01,55.84,76.39,4.68,2.75,0
80.7,35.24,61.87,4.69,0.77,1
67.95,52.17,57.83,4.13,2.44,0
65.01,80.05,75.95,1.89,0.92,1
71.09,45.75,49.46,3.81,4.44,1
72.44,46.69,65.42,3.9,1.42,0
76.87,53.57,49.71,4.72,3.01,0
77.55,69.27,67.45,1.92,1.12,0
71.16,41.73,66.7,4.52,4.19,0
63.8,74.87,33.04,4.85,2.53,0
71.18,62.6,54.82,4.54,3.4,1
75.74,54.37,68.61,4.11,1.28,1
63.39,43.22,41.78,2.06,2.63,0
92.89,57.71,76.95,4.92,0.73,1
74.69,27.83,30.5,2.43,3.47,0
61.34,46.87,74.64,3.23,2.38,0
73.21,47.83,39.41,1.79,0.83,0
94.84,39.99,32.79,4.43,2.81,1
86.72,36.88,38.65,4.53,1.87,0
82.18,47.61,51.26,2.86,4.62,0
71.34,64.5,79.84,4.27,1.48,0
85.37,45.87,52.51,2.97,4.06,0
73.34,64.97,57.3,3.8,0.8,0
100.85,67.06,64.35,1.14,4.73,1
84.3,50.22,51.97,1.27,2.8,0
72.8,51.3,71.2,2.84,1.45,0
81.38,66.63,40.27,2.6,4.51,0
69.28,54.14,46.78,3.29,2.82,0
68.91,32.89,44.87,3.98,3.57,0
77.61,34.75,68.47,3.0,1.95,0
93.54,34.51,61.62,1.35,4.0,1
60.23,46.87,44.24,3.02,4.47,0
65.13,47.45,73.33,1.83,4.47,0
90.69,35.87,59.99,1.35,4.37,1
72.97,33.54,55.14,4.34,1.38,0
64.88,28.97,46.78,3.36,3.94,0
66.0,15.37,72.73,2.57,4.82,0
64.18,26.27,54.72,3.57,4.3,0
79.75,27.8,70.08,1.73,1.97,1
65.3,45.36,34.86,1.57,3.07,0
58.82,41.78,31.02,4.13,2.44,0
71.63,34.39,34.35,4.4,1.62,0
73.49,45.58,30.47,4.8,2.45,0
66.93,51.74,74.28,4.81,1.08,1
80.54,58.9,64.67,4.64,1.98,0
65.4,61.03,68.11,1.24,4.29,0
74.23,34.75,75.07,3.49,3.83,0
77.72,61.22,78.78,1.45,4.95,0
88.41,28.65,64.43,3.03,3.35,0
71.44,42.75,59.2,2.15,1.02,0
69.05,56.66,79.64,1.52,3.75,0
62.3,49.46,57.14,3.31,2.1,0
66.54,43.57,45.65,3.93,3.4,1
72.68,43.89,62.71,2.6,4.43,0
84.96,8.8,53.13,3.78,3.14,0
84.29,31.24,54.38,4.91,1.87,0
66.2,61.64,50.96,4.62,2.99,0
78.64,66.21,44.38,3.76,4.77,1
74.21,69.55,70.91,1.42,0.77,0
82.2,49.47,39.73,4.65,3.25,0
74.97,41.97,74.21,3.57,3.47,0
80.36,52.27,38.26,1.45,0.82,0
70.95,32.91,36.86,2.08,4.64,0
83.03,59.14,74.86,3.48,3.08,0
75.55,63.9,48.24,2.07,1.23,0
69.32,28.8,78.16,1.19,2.84,0
84.44,32.81,61.68,1.65,4.27,0
76.38,53.47,43.1,1.43,4.75,1
74.06,59.01,77.65,1.67,2.71,0
63.91,48.57,67.35,2.15,4.85,0
70.02,51.58,52.85,2.01,3.91,1
91.99,67.55,45.25,2.9,3.51,1
72.84,41.64,36.86,4.32,1.27,0
79.62,57.24,30.92,1.83,2.99,0
58.62,26.96,56.37,4.74,1.7,0
72.02,39.87,72.6,3.59,1.53,0
76.54,63.81,32.9,1.86,3.34,0
81.45,77.8,42.88,2.22,1.44,0
97.39,45.26,70.34,3.66,3.08,1
65.79,57.46,75.01,4.96,2.13,1
75.97,39.23,55.99,3.58,2.85,0
76.76,53.0,41.25,2.51,3.1,0
81.35,78.88,56.83,1.93,3.59,0
71.44,55.77,43.0,1.96,2.12,0
82.21,72.77,46.41,3.77,2.9,0
74.91,31.28,61.7,4.2,1.22,0
76.85,38.29,41.27,3.81,4.46,0
70.16,19.6,43.36,4.0,4.54,0
93.29,63.4,58.57,4.67,0.96,1
83.73,27.91,55.3,4.05,4.66,0
103.78,24.23,64.33,3.24,3.02,1
70.08,87.38,64.72,2.38,1.94,1
87.33,64.81,52.72,1.9,2.79,0
76.97,18.84,49.72,2.29,3.72,1
92.79,51.07,31.93,2.02,1.37,1
71.45,21.1,76.99,3.59,3.12,1
70.48,64.54,61.26,4.83,2.21,0
84.64,88.67,73.82,1.09,0.57,1
76.94,46.18,45.12,3.75,2.19,0
76.5,38.89,36.76,3.12,0.79,0
70.45,39.32,63.17,3.07,2.93,0
56.79,8.88,73.1,3.12,1.7,0
91.9,42.43,67.24,1.13,2.29,1
68.51,24.29,68.32,4.25,3.47,0
77.26,45.46,48.88,3.48,2.91,0
66.91,56.7,74.84,1.21,0.96,0
67.92,51.79,55.59,1.8,4.73,0
75.85,46.0,45.86,1.65,2.2,0
56.62,57.71,49.81,2.99,4.67,0
76.13,53.76,42.03,4.17,2.02,0
88.19,36.43,77.55,1.24,2.78,0
70.99,44.56,32.43,1.1,1.55,0
59.67,38.45,61.33,1.13,4.48,0
73.51,67.14,65.18,4.82,3.89,1
61.32,27.51,34.95,2.7,0.65,0
64.65,15.61,34.91,3.54,4.23,0
77.88,42.77,37.02,3.37,4.35,0
79.63,33.78,35.06,4.76,4.96,0
80.76,25.23,50.99,4.11,1.91,0
75.21,45.1,57.28,1.27,0.9,1
72.01,53.28,64.19,3.5,2.87,0
80.49,45.54,74.13,2.79,3.62,1
72.86,38.23,41.77,3.15,2.72,0
71.47,37.05,47.83,1.03,3.62,0
69.29,59.58,73.34,1.74,3.26,0
86.33,49.79,40.19,4.37,1.85,0
79.64,27.92,44.66,1.67,1.4,0
70.85,57.48,41.23,3.69,1.22,0
65.04,52.03,75.09,3.61,3.52,1
76.72,61.87,35.01,1.3,1.56,0
72.13,71.78,33.21,1.97,1.55,0
87.14,52.39,44.47,4.11,1.18,0
85.12,68.48,49.68,4.17,4.23,1
72.95,21.42,78.38,4.21,2.34,0
71.17,52.75,49.48,1.05,2.05,0
84.22,45.34,31.18,4.17,3.85,0
60.99,51.42,53.98,2.76,0.73,0
86.01,30.78,37.58,1.32,0.87,1
66.3,54.27,38.62,3.48,3.27,0
66.1,64.56,68.16,1.64,1.99,0
72.67,49.97,52.46,4.43,1.19,0
77.72,48.2,53.45,3.84,1.04,0
77.73,26.66,65.77,3.22,4.58,0
62.58,49.73,56.09,1.29,3.4,0
74.58,64.78,78.73,4.34,0.83,0
74.65,52.07,44.94,3.9,3.56,1
68.69,45.24,44.4,4.66,2.48,0
74.58,46.17,40.32,4.92,2.17,0
71.97,34.85,31.82,4.87,0.64,0
84.15,48.07,30.74,4.1,3.09,0
94.53,47.62,30.76,2.97,2.73,1
87.61,42.44,53.71,2.34,1.32,0
78.59,78.27,75.39,1.6,3.27,0
76.68,34.37,52.19,4.12,4.9,0
70.24,33.65,45.09,3.89,2.51,1
83.19,41.66,76.45,1.56,2.56,1
79.41,37.0,59.61,2.37,1.7,0
82.32,33.19,51.31,1.0,3.66,0
81.52,42.3,56.34,1.94,2.13,0
75.4,25.56,65.85,1.26,4.51,0
85.01,20.85,52.67,4.55,2.48,0
84.86,33.42,45.27,3.96,4.67,0
57.31,46.13,43.89,1.37,4.21,1
62.77,54.13,57.08,2.91,3.3,0
73.53,38.08,43.09,2.51,4.74,0
88.57,56.06,61.21,4.21,0.8,1
78.47,42.26,52.97,4.21,4.86,0
67.33,72.1,35.05,4.54,4.81,0
75.69,74.17,43.97,2.74,0.86,1
66.3,43.0,54.15,2.31,4.75,0
83.03,73.93,66.73,2.41,3.76,0
93.94,64.74,54.06,3.21,3.1,1
62.4,58.77,54.43,3.2,1.02,0
82.75,48.89,48.86,1.34,4.88,0
75.83,27.75,76.66,3.86,4.44,0
70.8,56.28,47.49,4.41,1.76,0
71.63,66.8,50.5,3.73,2.29,0
66.62,30.07,39.67,4.26,3.5,0
75.76,69.9,72.69,4.89,2.01,1
78.56,30.04,44.42,1.69,1.03,0
77.3,49.54,60.82,3.35,4.47,0
65.48,51.35,64.01,1.17,2.58,0
81.48,51.14,31.72,2.81,1.63,0
68.17,52.02,52.49,3.44,1.5,0
78.64,32.04,69.39,2.74,0.71,0
71.25,33.24,42.81,1.92,3.53,0
72.69,62.13,73.33,3.33,4.24,0
70.51,54.86,48.97,4.19,2.38,0
62.03,47.91,53.68,2.24,3.58,0
82.92,37.71,64.93,1.83,1.52,0
76.19,73.41,44.56,3.66,3.12,0
68.83,54.98,78.99,2.58,1.53,1
64.58,51.65,57.17,1.22,1.15,0
68.24,65.17,55.25,4.95,0.61,0
76.09,57.99,44.36,2.75,0.68,1
78.6,25.49,49.49,1.5,2.46,0
83.72,40.57,76.08,4.37,3.87,0
65.38,58.9,34.56,2.38,2.49,0
80.63,50.29,48.05,3.26,1.25,0
75.12,52.26,62.18,3.22,4.87,0
64.2,22.67,32.49,1.66,4.4,1
69.03,46.3,79.24,4.72,4.16,0
68.31,50.83,42.61,4.79,0.88,0
91.71,48.54,70.82,3.23,4.25,1
75.22,57.48,71.3,3.53,1.04,0
84.73,64.87,66.72,2.39,0.65,0
84.21,60.9,50.4,4.81,1.19,0
72.75,48.46,30.25,3.46,2.96,0
67.2,37.13,65.57,4.68,4.49,0
75.43,43.68,35.05,4.26,2.02,0
70.86,51.0,66.82,4.55,2.38,0
74.06,37.62,67.28,4.61,1.77,0
62.39,52.66,56.96,1.74,1.59,0
72.95,43.75,34.93,2.57,1.54,1
57.04,54.24,52.53,3.58,4.64,0
59.82,53.16,55.75,1.71,2.94,0
98.95,46.23,68.65,1.77,4.32,1
75.43,57.97,33.85,2.91,0.9,0
75.23,42.83,46.63,3.86,1.48,0
65.83,50.65,46.49,1.25,1.79,0
83.42,56.27,42.08,4.26,2.51,0
